Credit_amount,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
1169.0,67.0,own,2,skilled,yes,yes,1
5951.0,22.0,own,1,skilled,none,yes,0
2096.0,49.0,own,1,unskilled resident,none,yes,1
7882.0,45.0,for free,1,skilled,none,yes,1
4870.0,53.0,for free,2,skilled,none,yes,0
9055.0,35.0,for free,1,unskilled resident,yes,yes,1
2835.0,53.0,own,1,skilled,none,yes,1
6948.0,35.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
3059.0,61.0,own,1,unskilled resident,none,yes,1
5234.0,28.0,own,2,high qualif/self emp/mgmt,none,yes,0
1295.0,25.0,rent,1,skilled,none,yes,0
4308.0,24.0,rent,1,skilled,none,yes,0
1567.0,22.0,own,1,skilled,yes,yes,1
1199.0,60.0,own,2,unskilled resident,none,yes,0
1403.0,28.0,rent,1,skilled,none,yes,1
1282.0,32.0,own,1,unskilled resident,none,yes,0
2424.0,53.0,own,2,skilled,none,yes,1
8072.0,25.0,own,3,skilled,none,yes,1
12579.0,44.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
3430.0,31.0,own,1,skilled,yes,yes,1
2134.0,48.0,own,3,skilled,yes,yes,1
2647.0,44.0,rent,1,skilled,none,yes,1
2241.0,48.0,rent,2,unskilled resident,none,no,1
1804.0,44.0,own,1,skilled,none,yes,1
2069.0,26.0,own,2,skilled,none,no,1
1374.0,36.0,own,1,unskilled resident,yes,yes,1
426.0,39.0,own,1,unskilled resident,none,yes,1
409.0,42.0,rent,2,skilled,none,yes,1
2415.0,34.0,own,1,skilled,none,yes,1
6836.0,63.0,own,2,skilled,yes,yes,0
1913.0,36.0,own,1,skilled,yes,yes,1
4020.0,27.0,own,1,skilled,none,yes,1
5866.0,30.0,own,2,skilled,yes,yes,1
1264.0,57.0,rent,1,unskilled resident,none,yes,1
1474.0,33.0,own,1,high qualif/self emp/mgmt,yes,yes,1
4746.0,25.0,own,2,unskilled resident,none,yes,0
6110.0,31.0,for free,1,skilled,yes,yes,1
2100.0,37.0,own,1,skilled,none,yes,0
1225.0,37.0,own,1,skilled,yes,yes,1
458.0,24.0,own,1,skilled,none,yes,1
2333.0,30.0,own,1,high qualif/self emp/mgmt,none,yes,1
1158.0,26.0,own,1,skilled,yes,yes,1
6204.0,44.0,own,1,unskilled resident,yes,yes,1
6187.0,24.0,rent,2,skilled,none,yes,1
6143.0,58.0,for free,2,unskilled resident,none,yes,0
1393.0,35.0,own,2,high qualif/self emp/mgmt,none,yes,1
2299.0,39.0,own,1,skilled,none,yes,1
1352.0,23.0,rent,1,unemp/unskilled non res,yes,yes,1
7228.0,39.0,own,2,unskilled resident,none,yes,1
2073.0,28.0,own,1,skilled,none,yes,1
2333.0,29.0,own,1,unskilled resident,none,yes,1
5965.0,30.0,own,2,high qualif/self emp/mgmt,yes,yes,1
1262.0,25.0,own,1,skilled,none,yes,1
3378.0,31.0,own,1,skilled,yes,yes,1
2225.0,57.0,for free,2,skilled,yes,yes,0
783.0,26.0,own,1,unskilled resident,none,yes,1
6468.0,52.0,own,1,high qualif/self emp/mgmt,yes,yes,0
